origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
UUEE-KLCK,1.02,1.1386
UUEE-KMIA,1.035,1.148
UUEE-KORD,1.0276,1.1727
UUEE-LBBG,1.214,1.3379
UUEE-LBSF,1.1406,1.3044
UUEE-LCLK,1.089,1.2098
UUEE-LDSP,1.075,1.1843
UUEE-LDZA,1.0571,1.2445
UUEE-LEAL,1.0318,1.1254
UUEE-LEBL,1.021,1.1379
UUEE-LEMD,1.0302,1.1279
UUEE-LEMG,1.0238,1.1354
UUEE-LEPA,1.0232,1.1844
UUEE-LEVC,1.0196,1.1458
UUEE-LFLL,1.022,1.1799
UUEE-LFML,1.0451,1.2348
UUEE-LFMN,1.0382,1.1784
UUEE-LFPG,1.0363,1.1805
UUEE-LFPO,1.0299,1.1712
UUEE-LGAV,1.2139,1.3368
UUEE-LGIR,1.1875,1.3126
UUEE-LGRP,1.1567,1.2086
UUEE-LGTS,1.1738,1.3088
UUEE-LHBP,1.0663,1.2312
UUEE-LIMC,1.038,1.1816
UUEE-LIPE,1.0357,1.1756
UUEE-LIPX,1.0382,1.1824
UUEE-LIPZ,1.0575,1.1996
UUEE-LIRF,1.048,1.1947
UUEE-LIRN,1.0732,1.2139
UUEE-LJLJ,1.0305,1.2048
UUEE-LKPR,1.029,1.1695
UUEE-LLBG,1.089,1.1853
UUEE-LMML,1.0305,1.183
UUEE-LOWW,1.0484,1.2019
UUEE-LPPT,1.0289,1.1395
UUEE-LROP,1.3418,1.506
UUEE-LSGG,1.0257,1.1414
UUEE-LSZH,1.0407,1.1841
UUEE-LTAI,1.1235,1.2232
UUEE-LTBA,1.3046,1.4236
UUEE-LTBS,1.1552,1.346
UUEE-LTFG,1.1112,1.1556
UUEE-LTFM,1.3256,1.4775
UUEE-LUKK,1.7115,1.8152
UUEE-LYBE,1.0858,1.2374
UUEE-LYTV,1.0995,1.2152
UUEE-MDPC,1.0447,1.1534
UUEE-MUHA,1.031,1.138
UUEE-MUVR,1.0186,1.1387
UUEE-OIIE,1.0476,1.1433
UUEE-OJAQ,1.0772,1.115
UUEE-OLBA,1.0982,1.2453
UUEE-OMDB,1.0425,1.0732
UUEE-OMDW,1.0441,1.085
UUEE-RJAA,1.0353,1.0284
UUEE-RKSI,1.0407,1.0437
UUEE-UAAA,1.026,1.0353
UUEE-UACC,1.019,1.064
UUEE-UAII,1.0198,1.1123
UUEE-UAKK,1.02,1.078
UUEE-UAOO,1.0206,1.118
UUEE-UATE,1.0463,1.1531
UUEE-UATG,1.1482,1.189
UUEE-UATT,1.0304,1.1074
UUEE-UBBB,1.0388,1.1016
UUEE-UCFM,1.0167,1.049
UUEE-UDYZ,1.0269,1.1092
UUEE-UEEE,1.0436,1.0769
UUEE-UGTB,1.041,1.1149
UUEE-UHBB,1.0278,1.0369
UUEE-UHHH,1.0122,1.0278
UUEE-UHPP,1.0106,1.0498
UUEE-UHSS,1.0149,1.0588
UUEE-UHWW,1.0618,1.1154
UUEE-UIII,1.0223,1.0505
UUEE-UKFF,1.2607,1.3701
UUEE-ULAA,1.0529,1.197
UUEE-ULLI,1.0717,1.2802
UUEE-ULMM,1.0397,1.2059
UUEE-UMKK,1.0194,1.1975
UUEE-UMMS,1.0755,1.2981
UUEE-UNAA,1.0218,1.0474
UUEE-UNBB,1.0217,1.0707
UUEE-UNEE,1.0345,1.0546
UUEE-UNKL,1.0227,1.0704
UUEE-UNNT,1.0357,1.0493
UUEE-UNOO,1.0293,1.0885
UUEE-UNTT,1.0291,1.0605
UUEE-UNWW,1.0241,1.0427
UUEE-URKA,1.1147,1.2412
UUEE-URKG,1.1196,1.2472
UUEE-URKK,1.0799,1.1905
UUEE-URMG,1.0553,1.1807
UUEE-URML,1.0388,1.1602
UUEE-URMM,1.0241,1.1145
UUEE-URMN,1.0266,1.1619
UUEE-URMO,1.0416,1.1764
UUEE-URMS,1.0502,1.1821
UUEE-URMT,1.0408,1.1728
UUEE-URRP,1.105,1.1987
UUEE-URSS,1.0885,1.1826
UUEE-URWA,1.0573,1.1607
UUEE-URWW,1.0531,1.1683
UUEE-USCC,1.0429,1.1353
UUEE-USCM,1.0201,1.0869
UUEE-USDD,1.022,1.1463
UUEE-USHH,1.027,1.1464
UUEE-USMU,1.0151,1.1278
UUEE-USNN,1.033,1.0969
UUEE-USPP,1.0795,1.17
UUEE-USRR,1.0242,1.1233
UUEE-USSS,1.0441,1.1073
UUEE-USTR,1.0561,1.1453
UUEE-UTDT,1.0187,1.0299
UUEE-UTFN,1.0277,1.052
UUEE-UTSB,1.0434,1.1249
UUEE-UTSL,1.0269,1.0601
UUEE-UTSS,1.0235,1.0854
UUEE-UTTT,1.0186,1.099
UUEE-UUOO,1.0563,1.2221
UUEE-UUYY,1.0318,1.137
UUEE-UWGG,1.1474,1.3974
UUEE-UWKD,1.045,1.1614
UUEE-UWKE,1.0616,1.1657
UUEE-UWKS,1.0444,1.2108
UUEE-UWOO,1.023,1.0738
UUEE-UWUU,1.0504,1.136
UUEE-UWWW,1.0411,1.1359
UUEE-VCBI,1.0382,1.0953
UUEE-VHHH,1.0577,1.0414
UUEE-VIDP,1.1515,1.2206
UUEE-VOGO,1.0362,0.9777
UUEE-VRMM,1.0415,1.147
UUEE-VTBS,1.0795,1.1007
UUEE-VTSP,1.0687,1.0889
UUEE-VVCR,1.066,1.2005
UUEE-VVNB,1.0816,1.0743
UUEE-VVTS,1.0764,1.0953
UUEE-WADD,1.0563,1.0878
UUEE-WSSS,1.069,1.1002
UUEE-ZBAA,1.018,1.0148
UUEE-ZGGG,1.0505,1.098
UUEE-ZGSZ,1.0484,1.0851
UUEE-ZHHH,1.0253,1.0671
UUEE-ZMUB,1.0158,1.0385
UUEE-ZPPP,1.081,1.1746
UUEE-ZSHC,1.0146,1.0354
UUEE-ZSPD,1.0231,1.0045
UUEE-ZSQD,1.0271,1.0571
UUEE-ZUUU,1.045,1.015
UUEE-ZWWW,1.0117,1.0348
UUOB-LTAI,1.2654,1.3228
UUOB-UUDD,1.0561,1.1406
UUOL-UUDD,1.1108,1.1803
UUOO-LTAI,1.1135,1.1648
UUOO-LTBS,1.1219,1.1484
UUOO-LTFM,1.3082,1.3772
UUOO-UDYZ,1.0243,1.049
UUOO-ULLI,1.0382,1.1132
UUOO-UTTT,1.0401,1.0741
UUOO-UUDD,1.1336,1.2271
UUOO-UUEE,1.189,1.366
UUWW-DTMB,1.0189,1.1724
UUWW-DTNH,1.034,1.0492
UUWW-DTTJ,1.0405,1.0701
UUWW-EDDK,1.0253,1.1133
UUWW-EDDP,1.0411,1.1551
UUWW-EDJA,1.04,1.1262
UUWW-EDSB,1.0247,1.1248
UUWW-EGGW,1.0411,1.0861
UUWW-EHEH,1.0314,1.1368
UUWW-ESSA,1.0303,1.1305
UUWW-EVRA,1.0398,1.1662
UUWW-LBBG,1.0887,1.1902
UUWW-LBWN,1.3347,1.399
UUWW-LCLK,1.077,1.1413
UUWW-LCPH,1.1271,1.2236
UUWW-LEBL,1.0188,1.0796
UUWW-LEGE,1.0187,1.0969
UUWW-LEPA,1.0255,1.0918
UUWW-LGIR,1.0764,1.2031
UUWW-LGKR,1.0648,1.1886
UUWW-LGRP,1.1564,1.2598
UUWW-LGTS,1.088,1.1898
UUWW-LHBP,1.0495,1.1296
UUWW-LHDC,1.0407,1.1132
UUWW-LIBD,1.082,1.1685
UUWW-LICJ,1.0449,1.1254
UUWW-LIMC,1.0346,1.1217
UUWW-LIME,1.0349,1.1302
UUWW-LIMJ,1.023,1.1222
UUWW-LIPH,1.0622,1.1716
UUWW-LIPR,1.042,1.1466
UUWW-LIRF,1.0413,1.1391
UUWW-LIRP,1.0246,1.1059
UUWW-LKKV,1.0241,1.109
UUWW-LKPR,1.0298,1.1324
UUWW-LOWW,1.0445,1.1231
UUWW-LTAI,1.1235,1.1777
UUWW-LTBA,1.0889,1.1263
UUWW-LTBS,1.1702,1.2547
UUWW-LTFE,1.2047,1.2387
UUWW-LTFG,1.1132,1.1376
UUWW-LTFJ,1.2985,1.3558
UUWW-LTFM,1.0703,1.1121
UUWW-LUKK,1.0284,1.1302
UUWW-LYTV,1.0972,1.175
UUWW-LZIB,1.0264,1.1194
UUWW-MDLR,1.0208,1.1161
UUWW-MMUN,1.0287,1.1683
UUWW-MUVR,1.0256,1.1256
UUWW-OIIE,1.034,1.0936
UUWW-OMDB,1.0364,1.0528
UUWW-OMDW,1.034,1.0139
UUWW-UACC,1.0144,0.9771
UUWW-UAII,1.0141,0.9979
UUWW-UATE,1.03,1.0415
UUWW-UBBB,1.0249,1.0988
UUWW-UBBG,1.0543,1.1877
UUWW-UDSG,1.0178,1.0729
UUWW-UDYZ,1.0156,1.0299
UUWW-UEEE,1.02,1.0342
UUWW-UELL,1.0154,1.0367
UUWW-UGTB,1.0219,1.0655
UUWW-UHMA,1.0204,1.0411
UUWW-UHMM,1.0085,1.1011
UUWW-UIII,1.0269,0.9907
UUWW-UIUU,1.0196,0.9824
UUWW-UKFF,1.275,1.2896
UUWW-ULAM,1.013,1.0401
UUWW-ULLI,1.0485,1.1819
UUWW-ULMM,1.0305,1.0825
UUWW-ULPB,1.108,1.2145
UUWW-UMKK,1.0317,1.127
UUWW-UMMS,1.0607,1.1811
UUWW-UNEE,1.0237,1.0176
UUWW-UNKL,1.0221,1.0128
UUWW-UNNT,1.0287,1.0054
UUWW-UNOO,1.0186,1.029
UUWW-UNTT,1.0234,1.0229
UUWW-URKA,1.1095,1.1426
UUWW-URKG,1.1091,1.1588
UUWW-URKK,1.0666,1.1058
UUWW-URMG,1.0269,1.0448
UUWW-URML,1.0269,1.0552
UUWW-URMM,1.0116,1.0412
UUWW-URMN,1.0109,1.022
UUWW-URMO,1.0293,1.0727
UUWW-URMS,1.0393,1.0733
UUWW-URMT,1.0246,1.0553
UUWW-URRP,1.0948,1.1311
UUWW-URSS,1.0874,1.1274
UUWW-URWA,1.0371,1.0747
UUWW-URWW,1.0271,1.075
UUWW-USCC,1.0308,1.0367
UUWW-USHH,1.0273,1.0211
UUWW-USKK,1.0786,1.1235
UUWW-USNN,1.0389,1.0279
UUWW-USPP,1.0477,1.0466
UUWW-USRK,1.023,1.0273
UUWW-USRO,1.0228,1.022
UUWW-USRR,1.0254,1.0303
UUWW-USSS,1.0364,1.0308
UUWW-USTR,1.0382,1.0349
UUWW-USUU,1.0185,0.9889
UUWW-UTDD,1.0204,0.9603
UUWW-UTFN,1.0413,0.9399
UUWW-UTNU,1.039,1.1318
UUWW-UTSB,1.0365,1.0363
UUWW-UTSS,1.0266,1.0107
UUWW-UTST,1.0196,0.9294
UUWW-UTTT,1.0272,0.9841
UUWW-UUYH,1.031,1.0646
UUWW-UUYS,1.0252,1.0557
UUWW-UUYY,1.0354,1.0642
UUWW-UWKD,1.0214,1.0469
UUWW-UWKE,1.0422,1.0572
UUWW-UWKS,1.0277,1.1033
UUWW-UWLL,1.0523,1.1207
UUWW-UWUU,1.0352,1.034
UUWW-UWWW,1.0301,1.0476
UUWW-VOGO,1.0424,1.0035
UUWW-VTBS,1.1,1.0981
UUWW-VTBU,1.0537,1.0339
UUWW-VTSP,1.0736,1.0867
UUWW-VVCR,1.0602,1.0626
UUWW-ZJSY,1.0335,1.0274
UUWW-ZSNJ,1.0112,1.0509
UUYH-UUWW,1.0996,1.1537
UUYS-UUWW,1.0877,1.1647
UUYY-LTAI,1.0508,1.1342
UUYY-ULLI,1.0232,1.0776
UUYY-URKA,1.0506,1.0659
UUYY-URSS,1.0709,1.0938
UUYY-UUEE,1.0712,1.1413
UUYY-UUWW,1.1295,1.1891
UWGG-LTAI,1.0804,1.1198
UWGG-LTBS,1.0923,1.1357
UWGG-URSS,1.1118,1.1153
UWGG-UUDD,1.1447,1.3142
UWGG-UUEE,1.1313,1.3595
UWKD-EDDF,1.0162,1.1821
UWKD-EFHK,1.1018,1.1939
UWKD-LCLK,1.0171,1.1097
UWKD-LTAI,1.0252,1.0929
UWKD-LTBS,1.0354,1.1377
UWKD-LTFM,1.1321,1.2107
UWKD-OMDB,1.0463,1.0688
UWKD-OMDW,1.0767,1.0367
UWKD-UBBB,1.0266,1.1443
UWKD-UGTB,1.049,1.1323
UWKD-UKFF,1.0593,1.1334
UWKD-ULLI,1.0557,1.1358
UWKD-URSS,1.0899,1.1367
UWKD-UTAA,1.0273,1.0612
UWKD-UTDD,1.0212,1.0181
UWKD-UTTT,1.0169,1.0402
UWKD-UUDD,1.0693,1.1487
UWKD-UUEE,1.0729,1.2235
UWKD-UUWW,1.0995,1.1999
UWKE-LTAI,1.0244,1.1446
UWKE-ULLI,1.0929,1.1834
UWKE-URSS,1.085,1.1676
UWKE-UUDD,1.0385,1.0998
UWKE-UUEE,1.063,1.2146
UWKE-UUWW,1.0902,1.177
UWKS-ULLI,1.0631,1.1163
UWKS-UUEE,1.0624,1.2292
UWKS-UUWW,1.1485,1.2595
UWLL-UUWW,1.1742,1.2808
UWOO-LTAI,1.0732,1.1455
UWOO-ULLI,1.0229,1.1722
UWOO-UUDD,1.037,1.1121
UWOO-UUEE,1.0415,1.1553
UWPP-UUDD,1.0863,1.0997
UWUU-LCLK,1.0385,1.1421
UWUU-LOWW,1.0466,1.146
UWUU-LTAI,1.0328,1.0679
UWUU-LTBS,1.0283,1.1084
UWUU-LTFM,1.1765,1.2677
UWUU-UBBB,1.0483,1.1142
UWUU-UKFF,1.0337,1.1123
UWUU-ULLI,1.0576,1.1889
UWUU-URKA,1.0334,1.098
UWUU-URSS,1.1137,1.1721
UWUU-USNN,1.0414,0.9903
UWUU-USRK,1.0271,1.0296
UWUU-USRR,1.0228,1.0266
UWUU-UUDD,1.0496,1.1537
UWUU-UUEE,1.0478,1.2176
UWUU-UUWW,1.1034,1.1886
UWWW-LCLK,1.0224,1.1099
UWWW-LTAI,1.0263,1.0885
UWWW-LTBS,1.0283,1.1406
UWWW-LTFM,1.1002,1.2387
UWWW-OMDB,1.0512,1.0523
UWWW-UKFF,1.0455,1.1324
UWWW-ULLI,1.0328,1.1087
UWWW-URSS,1.1107,1.176
UWWW-USNN,1.0213,0.9648
UWWW-USRK,1.0174,1.0141
UWWW-USRR,1.0194,1.0116
UWWW-UTDD,1.0237,1.0737
UWWW-UUDD,1.0868,1.1459
UWWW-UUEE,1.0741,1.1978
UWWW-UUWW,1.1319,1.2013
VAAH-EGLL,1.052,1.2014
VAAH-OKBK,1.0928,1.3744
VAAH-OMAA,1.1017,1.2746
VAAH-OMDB,1.1019,1.2633
VAAH-OMSJ,1.1097,1.3735
VAAH-OOMS,1.106,1.2556
VAAH-ORNI,1.1254,1.3224
VAAH-OTHH,1.1415,1.304
VAAH-VABB,1.1782,1.3271
VAAH-VAID,1.0211,1.2199
VAAH-VAPO,1.0641,1.1424
VAAH-VEBD,1.0356,1.0181
VAAH-VEBN,1.0348,1.0773
VAAH-VECC,1.0258,1.0467
VAAH-VEGT,1.0346,1.0157
VAAH-VEPT,1.0369,1.0411
VAAH-VICG,1.0886,1.1098
VAAH-VIDP,1.0858,1.1656
VAAH-VIJO,1.1459,1.3377
VAAH-VIJP,1.0241,1.1691
VAAH-VILK,1.1294,1.0848
VAAH-VOBL,1.0817,1.139
VAAH-VOCI,1.0323,1.0883
VAAH-VOGO,1.0247,1.0933
VAAH-VOHB,1.0483,1.1041
VAAH-VOHS,1.134,1.1596
VAAH-VOMM,1.0853,1.1292
VAAH-VTBD,1.0093,1.1401
VAAH-VTBS,1.0215,1.0615
VAAH-WSSS,1.0246,1.1391
VAAU-VABB,1.0833,1.2862
VAAU-VIDP,1.053,1.0651
VABB-EDDF,1.0272,1.1461
VABB-EDDK,1.0512,1.2037
VABB-EDDM,1.0214,1.2456
VABB-EGLL,1.0397,1.1992
VABB-EHAM,1.0395,1.1808
VABB-FIMP,1.0071,1.0729
VABB-FSIA,1.0084,1.0819
VABB-HECA,1.0309,1.2257
VABB-HKJK,1.0142,1.0746
VABB-HRYR,1.0611,1.1258
VABB-KEWR,1.0269,1.1061
VABB-LFPG,1.0383,1.1451
VABB-LSZH,1.0215,1.2381
VABB-LTBA,1.0503,1.1747
VABB-LTFM,1.0452,1.1215
VABB-OBBI,1.0344,1.1378
VABB-OEDF,1.0279,1.2742
VABB-OEJN,1.0274,1.1643
VABB-OERK,1.0625,1.268
VABB-OIIE,1.0342,1.1848
VABB-OKBK,1.0385,1.2661
VABB-OMAA,1.0304,1.1436
VABB-OMDB,1.026,1.1584
VABB-OMSJ,1.026,1.2073
VABB-OOMS,1.0221,1.1743
VABB-ORNI,1.0375,1.2039
VABB-OTHH,1.0541,1.2229
VABB-OYAA,1.009,1.2066
VABB-RJAA,1.0487,1.0293
VABB-RKSI,1.1108,1.0904
VABB-VAAH,1.104,1.2978
VABB-VAAU,1.103,1.399
VABB-VABJ,1.0466,1.2124
VABB-VABO,1.0887,1.2839
VABB-VABP,1.0494,1.1903
VABB-VAID,1.1633,1.2816
VABB-VAJM,1.0522,1.2542
VABB-VANP,1.0431,1.1617
VABB-VAPO,1.4022,1.4396
VABB-VARK,1.0192,1.2357
VABB-VAUD,1.0257,1.1293
VABB-VCBI,1.0232,1.1111
VABB-VEBD,1.0533,1.08
VABB-VEBN,1.0385,1.1373
VABB-VEBS,1.0408,1.1281
VABB-VECC,1.0374,1.093
VABB-VEDG,1.0187,1.0434
VABB-VEGK,1.0409,1.0815
VABB-VEGT,1.0217,1.0508
VABB-VEPT,1.0556,1.0942
VABB-VERC,1.0233,1.1042
VABB-VERP,1.0357,1.1346
VABB-VGHS,1.0433,1.0723
VABB-VHHH,1.0416,0.9727
VABB-VIAR,1.039,1.083
VABB-VICG,1.0608,1.1188
VABB-VIDN,1.0353,1.0735
VABB-VIDP,1.0818,1.144
VABB-VIJO,1.0472,1.1272
VABB-VIJP,1.0308,1.1149
VABB-VIJR,1.0504,1.1421
VABB-VIJU,1.0771,1.1562
VABB-VIKA,1.0435,1.1025
VABB-VILK,1.0651,1.0908
VABB-VISR,1.0649,1.1051
VABB-VNKT,1.0897,1.1508
VABB-VOBL,1.0758,1.1597
VABB-VOBZ,1.0363,1.0881
VABB-VOCB,1.0411,1.1055
VABB-VOCI,1.0262,1.0964
VABB-VOCL,1.0394,1.1089
VABB-VOGO,1.0323,1.2391
VABB-VOHB,1.0415,1.2721
VABB-VOHS,1.0973,1.2107
VABB-VOKN,1.0237,1.1454
VABB-VOMD,1.0206,1.0754
VABB-VOML,1.0219,1.1557
VABB-VOMM,1.061,1.1294
VABB-VOPB,1.0124,1.1449
VABB-VOTP,1.0675,1.1078
VABB-VOTV,1.0311,1.1036
VABB-VOVZ,1.0646,1.1207
VABB-VRMM,1.0624,1.1637
VABB-VTBD,1.0391,1.1169
VABB-VTBS,1.043,1.0602
VABB-WMKK,1.0549,1.1548
VABB-WSSS,1.0422,1.1091
VABB-ZBAA,1.1035,1.1655
VABB-ZGGG,1.019,1.0507
VABB-ZPPP,1.0249,1.0084
VABJ-VABB,1.21,1.2398
VABO-VABB,1.1411,1.3257
VABO-VIDP,1.0895,1.145
VABO-VOBL,1.0761,1.1332
VABO-VOHS,1.1781,1.194
VABP-VABB,1.0942,1.1424
VABP-VAPO,1.1926,1.145
VABP-VIDP,1.0853,1.1265
VABP-VOBL,1.0542,1.0318
VAID-VABB,1.1147,1.1972
VAID-VECC,1.025,0.9853
VAID-VIDP,1.09,1.1137
VAID-VOBL,1.077,1.0585
VAID-VOGO,1.1065,1.1276
VAID-VOHS,1.0887,1.0569
VAID-VOMM,1.044,1.0226
VAJM-VABB,1.1769,1.2653
VAND-VIDP,1.0401,1.129
VANP-OMSJ,1.0464,1.2224
VANP-OTHH,1.117,1.2484
VANP-VABB,1.0429,1.1377
VANP-VAPO,1.0594,1.1171
VANP-VECC,1.0422,0.9814
VANP-VIDP,1.0697,1.132
VANP-VOBL,1.0572,1.0587
VANP-VOCI,1.1043,1.1025
VAPO-OMAA,1.0271,1.2468
VAPO-OMDB,1.0144,1.1402
VAPO-VAAH,1.1212,1.2442
VAPO-VABP,1.0981,1.2473
VAPO-VANP,1.062,1.1454
VAPO-VECC,1.0571,1.0875
VAPO-VIDP,1.1347,1.1762
VAPO-VIJP,1.0961,1.172
VAPO-VILK,1.0729,1.0547
VAPO-VOBL,1.0803,1.1439
VAPO-VOCB,1.0351,1.0535
VAPO-VOCI,1.0276,1.0579
VAPO-VOGO,1.0441,1.1956
VAPO-VOHS,1.0857,1.1342
VAPO-VOMM,1.0775,1.1154
VAPO-WSSS,1.0232,1.0637
VARK-VABB,1.2108,1.3266
VARK-VIDP,1.0706,1.0751
VASD-VIDP,1.0754,1.0908
VASD-VOMM,1.0604,1.0802
VASU-OMSJ,1.0477,1.1554
VASU-VECC,1.0474,1.0544
VASU-VIDP,1.0772,1.1291
VASU-VOBL,1.0877,1.1422
VASU-VOGO,1.0302,1.1294
VASU-VOHS,1.2163,1.2727
VASU-VOMM,1.0842,1.1492
VAUD-VABB,1.1077,1.1969
VAUD-VIDP,1.1118,1.114
VAUD-VOBL,1.0856,1.0921
VAUD-VOHS,1.0671,1.0285
VAUD-VOMM,1.0376,1.0574
VCBI-EGLL,1.0246,1.167
VCBI-FSIA,1.0083,1.0739
VCBI-OBBI,1.0176,1.1075
VCBI-OEDF,1.0158,1.1222
VCBI-OEJN,1.0107,1.0864
VCBI-OERK,1.0355,1.1482
VCBI-OKBK,1.0149,1.1295
VCBI-OMAA,1.0105,1.04
VCBI-OMDB,1.0206,1.0857
VCBI-OMSJ,1.0157,1.1582
VCBI-OOMS,1.0177,1.1012
VCBI-OPKC,1.0166,1.1148
VCBI-OPLA,1.0202,1.113
VCBI-OTHH,1.0424,1.1491
VCBI-RJAA,1.0513,1.0741
VCBI-RKSI,1.0924,1.1183
VCBI-UUEE,1.0427,1.2198
VCBI-VABB,1.0655,1.1472
VCBI-VECC,1.0532,1.1194
VCBI-VGHS,1.0446,1.0975
VCBI-VHHH,1.0315,1.0416
VCBI-VIDP,1.0211,1.1045
VCBI-VOBL,1.0749,1.1366
VCBI-VOCB,1.0504,1.1574
VCBI-VOCI,1.0447,1.1717
VCBI-VOHS,1.0465,1.0823
VCBI-VOMD,1.0105,1.1872
VCBI-VOMM,1.0635,1.1548
VCBI-VOTR,1.0184,1.1258
VCBI-VOTV,1.0179,1.1759
VCBI-VRMM,1.0136,1.1362
VCBI-VTBD,1.0786,1.1532
VCBI-VTBS,1.0466,1.1227
VCBI-WIII,1.0417,1.0797
VCBI-WMKK,1.0366,1.1037
VCBI-WSSS,1.0292,1.1149
VCBI-YMML,1.0093,1.0304
VCBI-ZBAA,1.0966,1.0832
VCBI-ZGGG,1.0443,1.0607
VCBI-ZPPP,1.1264,1.1527
VCBI-ZSPD,1.06,1.0523
VCBI-ZUUU,1.1015,1.0898
VDPP-RCTP,1.0579,1.0703
VDPP-RJAA,1.0492,1.0115
VDPP-RKSI,1.0797,1.0589
VDPP-RPLL,1.038,1.1205
VDPP-VHHH,1.0553,1.098
VDPP-VLVT,1.0678,0.9911
VDPP-VMMC,1.046,1.1363
VDPP-VTBD,1.213,1.2049
VDPP-VTBS,1.1251,1.1677
VDPP-VVTS,1.4127,1.6271
VDPP-VYYY,1.0327,1.0744
VDPP-WIII,1.0501,1.1246
VDPP-WMKK,1.0727,1.0929
VDPP-WSSS,1.0464,1.0667
VDPP-ZBAA,1.0327,1.1246
VDPP-ZGGG,1.0838,1.1422
VDPP-ZGNN,1.0679,1.0988
VDPP-ZGOW,1.0728,1.1824
VDPP-ZGSZ,1.0449,1.1561
VDPP-ZJHK,1.0378,1.0807
VDPP-ZJSY,1.0286,1.0976
VDPP-ZPPP,1.0433,1.0822
VDPP-ZSAM,1.0307,1.0797
VDPP-ZSFZ,1.0184,1.1022
VDPP-ZSNJ,1.044,1.0984
VDPP-ZSPD,1.0406,1.0726
VDPP-ZUCK,1.0793,1.1691
VDPP-ZUUU,1.0367,1.1136
VDSR-RCTP,1.0557,1.1205
VDSR-RKPK,1.0396,0.9494
VDSR-RKSI,1.0932,1.0101
VDSR-RPLL,1.0205,1.1275
VDSR-VHHH,1.0609,1.072
VDSR-VLLB,1.0188,0.9528
VDSR-VMMC,1.0457,1.1361
VDSR-VTBD,1.3959,1.444
VDSR-VTBS,1.2266,1.3239
VDSR-VVNB,1.0979,1.0255
VDSR-VVTS,1.2143,1.1884
VDSR-WMKK,1.0923,1.1355
VDSR-WSSS,1.0465,1.0622
VDSR-ZBAA,1.0403,1.0687
VDSR-ZBTJ,1.0389,1.1175
VDSR-ZGGG,1.044,1.1294
VDSR-ZGNN,1.1068,1.0405
VDSR-ZHCC,1.0653,1.0822
VDSR-ZHHH,1.0434,1.1098
VDSR-ZLXY,1.0549,1.1341
VDSR-ZPPP,1.0472,1.1045
VDSR-ZSAM,1.0355,1.0813
VDSR-ZSHC,1.0367,1.0606
VDSR-ZSNB,1.0402,1.1123
VDSR-ZSNJ,1.0574,1.1304
VDSR-ZSOF,1.0513,1.1019
VDSR-ZSPD,1.0662,1.0757
VDSR-ZUCK,1.0586,1.1854
VDSV-VMMC,1.0327,1.105
VDSV-VTBD,1.2025,1.2133
VDSV-VTBS,1.1603,1.2655
VDSV-WMKK,1.1158,1.1283
VDSV-ZBAA,1.0293,1.0733
VDSV-ZGGG,1.1107,1.1697
VDSV-ZGHA,1.0494,1.1622
VDSV-ZGNN,1.0603,1.1198
VDSV-ZGOW,1.031,1.1082
VDSV-ZGSZ,1.0541,1.1601
VDSV-ZHCC,1.0384,1.1489
VDSV-ZHHH,1.0317,1.1279
VDSV-ZPPP,1.0358,1.0909
VDSV-ZSAM,1.024,1.1228
VDSV-ZSCN,1.0553,1.1621
VDSV-ZSFZ,1.0245,1.0847
VDSV-ZSHC,1.0737,1.1698
VDSV-ZSQZ,1.0289,1.1398
VDSV-ZSWZ,1.0491,1.1452
VDSV-ZUCK,1.0516,1.1673
VDSV-ZUUU,1.0252,1.0965
VEAT-VECC,1.1757,1.4482
VEAT-VEGT,1.052,1.2869
VEAT-VEIM,1.0359,1.2596
VEAT-VIDP,1.129,1.2652
VEAT-VOBL,1.0451,1.1826
VEBD-VAAH,1.0411,1.1879
VEBD-VABB,1.0624,1.2209
VEBD-VECC,1.1242,1.2688
VEBD-VEGT,1.0427,1.22
VEBD-VEMN,1.0555,1.1141
VEBD-VIDP,1.1127,1.2754
VEBD-VOBL,1.0605,1.1676
VEBD-VOHS,1.0749,1.1981
VEBD-VOMM,1.0346,1.1163
VEBD-VQPR,1.1887,1.4452
VEBD-VTBS,1.0696,1.1843
VEBN-OMSJ,1.0409,1.1141
VEBN-VAAH,1.0375,1.0657
VEBN-VABB,1.0472,1.1143
VEBN-VECC,1.0569,1.0773
VEBN-VIDP,1.0826,1.1752
VEBN-VOBL,1.0635,1.094
VEBN-VOHS,1.1611,1.1511
VEBN-VOMM,1.0528,1.0711
VEBN-VTBS,1.0404,1.0513
VEBN-WMKK,1.023,1.0505
VEBS-VABB,1.0289,1.1272
VEBS-VECC,1.1879,1.2757
VEBS-VEGT,1.0904,1.0773
VEBS-VIDP,1.0542,1.1581
VEBS-VOBL,1.0506,1.1065
VEBS-VOCI,1.0314,1.0886
VEBS-VOHS,1.0657,1.115
VEBS-VOMM,1.0412,1.0806
VEBS-VTBD,1.0111,1.0854
VEBS-WMKK,1.0284,1.1254
VECC-OMAA,1.0561,1.2108
VECC-OMDB,1.0607,1.1408
VECC-OTHH,1.0985,1.2362
VECC-VAAH,1.0182,1.1887
VECC-VABB,1.0242,1.17
VECC-VAID,1.0105,1.149
VECC-VANP,1.0149,1.1323
VECC-VAPO,1.0338,1.1896
VECC-VASU,1.0344,1.179
VECC-VCBI,1.0376,1.1251
VECC-VEAT,1.1319,1.3003
VECC-VEBD,1.0798,1.2217
