origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
CYVR-ZGGG,1.0271,1.1879
CYVR-ZGSZ,1.036,1.1889
CYVR-ZHCC,1.0131,1.1508
CYVR-ZSAM,1.0232,1.2047
CYVR-ZSNJ,1.0333,1.1734
CYVR-ZSPD,1.0311,1.1819
CYVR-ZSQD,1.0089,1.1626
CYWG-CYEG,1.0123,1.0969
CYWG-CYFB,1.0044,1.0595
CYWG-CYHM,1.0435,0.9815
CYWG-CYHZ,1.0153,0.908
CYWG-CYLW,1.0208,1.1361
CYWG-CYMX,1.0171,0.9795
CYWG-CYOW,1.0168,0.9452
CYWG-CYQR,1.0547,1.1614
CYWG-CYUL,1.0217,1.0562
CYWG-CYVR,1.0215,1.1641
CYWG-CYYC,1.0359,1.1265
CYWG-CYYZ,1.0409,1.0287
CYWG-KLAS,1.0285,1.0981
CYWG-KMCO,1.0189,0.9989
CYWG-KMSP,1.074,1.1542
CYWG-KORD,1.1306,1.2
CYWG-MMPR,1.0282,1.1132
CYWG-MMUN,1.0359,1.078
CYWG-MUVR,1.0253,1.0287
CYXE-CYQR,1.0827,1.157
CYXE-CYVR,1.0239,1.0735
CYXE-CYYC,1.0358,1.1229
CYXE-CYYZ,1.0242,1.0199
CYXE-KMSP,1.0451,1.0583
CYXU-CYEG,1.0163,1.1581
CYXU-CYHZ,1.0221,0.9643
CYXU-CYXX,1.0186,1.1558
CYXU-CYYC,1.027,1.1412
CYXX-CYEG,1.043,1.0745
CYXX-CYHM,1.0169,0.9681
CYXX-CYWG,1.0117,1.0076
CYXX-CYXU,1.0133,0.957
CYXX-CYYC,1.0393,1.0544
CYXY-CYVR,1.0151,0.9965
CYYB-CYYZ,1.1051,1.339
CYYC-CYEG,1.0542,1.3292
CYYC-CYFI,1.0109,1.1071
CYYC-CYHM,1.0211,0.9446
CYYC-CYHZ,1.0159,0.9278
CYYC-CYKF,1.0203,0.961
CYYC-CYLW,1.0548,1.2541
CYYC-CYOW,1.0123,0.9748
CYYC-CYQG,1.0293,0.9546
CYYC-CYQQ,1.0303,1.1088
CYYC-CYQR,1.0293,1.0178
CYYC-CYUL,1.017,0.9844
CYYC-CYVR,1.0446,1.1643
CYYC-CYWG,1.0238,0.9915
CYYC-CYXE,1.0515,1.1088
CYYC-CYXU,1.0221,0.934
CYYC-CYXX,1.0319,1.1452
CYYC-CYXY,1.0097,1.1508
CYYC-CYYJ,1.0609,1.1473
CYYC-CYYZ,1.0267,0.9924
CYYC-EDDF,1.0268,1.0649
CYYC-EGKK,1.0257,1.0513
CYYC-EGLL,1.0226,1.0374
CYYC-EHAM,1.0268,1.0797
CYYC-KATL,1.0247,0.9812
CYYC-KDEN,1.047,1.0392
CYYC-KDFW,1.0435,1.163
CYYC-KEWR,1.0393,1.0579
CYYC-KIAH,1.0332,1.0221
CYYC-KJFK,1.0432,0.9657
CYYC-KLAS,1.0638,1.0861
CYYC-KLAX,1.074,1.1427
CYYC-KMCO,1.0214,0.9836
CYYC-KMEM,1.0312,0.9759
CYYC-KMSP,1.0406,1.0826
CYYC-KORD,1.0392,1.0697
CYYC-KPHX,1.0204,1.032
CYYC-KPSP,1.0705,1.0711
CYYC-KSAN,1.0648,1.0928
CYYC-KSFO,1.0611,1.1036
CYYC-MMMZ,1.0237,1.0563
CYYC-MMPR,1.0155,1.0459
CYYC-MMSD,1.0137,1.0607
CYYC-MMUN,1.0285,1.0187
CYYC-MMZH,1.0145,1.0317
CYYC-PHOG,1.0303,1.1238
CYYC-RJAA,1.0199,1.1341
CYYC-ZBAA,1.0149,1.1595
CYYG-CYUL,1.0303,1.1493
CYYG-CYYZ,1.0336,1.1925
CYYJ-CYEG,1.0333,1.0182
CYYJ-CYUL,1.0233,1.059
